NAME                                      TYPE        CLUSTER-IP      EXTERNAL-IP   PORT(S)                                                              AGE   SELECTOR
alertmanager-operated                     ClusterIP   None            <none>        9093/TCP,9094/TCP,9094/UDP                                           24h   app.kubernetes.io/name=alertmanager
hotrod                                    ClusterIP   10.96.136.113   <none>        8080/TCP                                                             19h   app=hotrod
jaeger-operator-metrics                   ClusterIP   10.96.247.77    <none>        8443/TCP                                                             24h   name=jaeger-operator
jaeger-operator-webhook-service           ClusterIP   10.96.180.88    <none>        443/TCP                                                              24h   name=jaeger-operator
loki                                      ClusterIP   10.96.176.145   <none>        3100/TCP                                                             24h   app=loki,release=loki
loki-headless                             ClusterIP   None            <none>        3100/TCP                                                             24h   app=loki,release=loki
loki-memberlist                           ClusterIP   None            <none>        7946/TCP                                                             24h   app=loki,release=loki
monitor-grafana                           ClusterIP   10.96.120.141   <none>        80/TCP                                                               24h   app.kubernetes.io/instance=monitor,app.kubernetes.io/name=grafana
monitor-kube-prometheus-st-alertmanager   ClusterIP   10.96.43.187    <none>        9093/TCP,8080/TCP                                                    24h   alertmanager=monitor-kube-prometheus-st-alertmanager,app.kubernetes.io/name=alertmanager
monitor-kube-prometheus-st-operator       ClusterIP   10.96.206.184   <none>        443/TCP                                                              24h   app=kube-prometheus-stack-operator,release=monitor
monitor-kube-prometheus-st-prometheus     ClusterIP   10.96.163.50    <none>        9090/TCP,8080/TCP                                                    24h   app.kubernetes.io/name=prometheus,operator.prometheus.io/name=monitor-kube-prometheus-st-prometheus
monitor-kube-state-metrics                ClusterIP   10.96.38.69     <none>        8080/TCP                                                             24h   app.kubernetes.io/instance=monitor,app.kubernetes.io/name=kube-state-metrics
monitor-prometheus-node-exporter          ClusterIP   10.96.98.245    <none>        9100/TCP                                                             24h   app.kubernetes.io/instance=monitor,app.kubernetes.io/name=prometheus-node-exporter
prometheus-operated                       ClusterIP   None            <none>        9090/TCP                                                             24h   app.kubernetes.io/name=prometheus
simplest-agent                            ClusterIP   None            <none>        5775/UDP,5778/TCP,6831/UDP,6832/UDP,14271/TCP                        24h   app.kubernetes.io/component=all-in-one,app.kubernetes.io/instance=simplest,app.kubernetes.io/managed-by=jaeger-operator,app.kubernetes.io/name=simplest,app.kubernetes.io/part-of=jaeger,app=jaeger
simplest-collector                        ClusterIP   10.96.218.118   <none>        9411/TCP,14250/TCP,14267/TCP,14268/TCP,14269/TCP,4317/TCP,4318/TCP   24h   app.kubernetes.io/component=all-in-one,app.kubernetes.io/instance=simplest,app.kubernetes.io/managed-by=jaeger-operator,app.kubernetes.io/name=simplest,app.kubernetes.io/part-of=jaeger,app=jaeger
simplest-collector-headless               ClusterIP   None            <none>        9411/TCP,14250/TCP,14267/TCP,14268/TCP,14269/TCP,4317/TCP,4318/TCP   24h   app.kubernetes.io/component=all-in-one,app.kubernetes.io/instance=simplest,app.kubernetes.io/managed-by=jaeger-operator,app.kubernetes.io/name=simplest,app.kubernetes.io/part-of=jaeger,app=jaeger
simplest-otlp                             ClusterIP   10.96.5.74      <none>        4317/TCP,4318/TCP                                                    24h   app=simplest
simplest-query                            ClusterIP   10.96.244.143   <none>        16686/TCP                                                            24h   app=simplest
